player_id_cat,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum,gender_female,gender_male,no_churn
145,89,0,187,97,-90,90,0,4816,0,1,0
147,44,0,44,0,-44,41,0,2390,1,0,1
148,0,0,0,0,0,0,0,4310,0,1,1
151,45,0,107,43,-64,38,0,2754,0,1,1
152,29,0,224,194,-30,29,0,3052,0,1,1
154,60,0,97,37,-60,53,0,2409,0,1,1
155,30,0,58,28,-30,29,0,2196,1,0,1
159,0,0,0,0,0,0,0,1880,1,0,1
160,0,587,0,0,0,0,0,0,1,0,0
161,121,0,178,65,-113,113,0,2793,0,1,0
163,59,0,114,56,-58,58,3,2688,1,0,1
165,0,0,1908,1916,8,-28,0,22101,0,1,1
166,0,0,0,0,0,0,0,1910,1,0,1
167,0,0,0,0,0,0,0,1809,0,1,1
168,181,0,307,127,-180,181,0,1477,1,0,0
170,60,0,439,379,-60,60,0,3913,1,0,1
172,60,1411,80,1431,1351,-1351,0,2437,0,1,1
173,0,0,0,0,0,0,0,1805,0,1,1
174,593,0,623,29,-594,593,0,2837,1,0,1
175,151,0,410,260,-150,150,0,731,0,1,1
179,59,0,410,351,-59,59,0,4964,1,0,0
180,0,0,0,0,0,0,0,434,1,0,1
181,180,0,472,291,-181,180,0,3601,0,1,1
182,163,0,302,139,-163,163,0,1409,1,0,1
185,0,0,0,0,0,0,0,200,0,1,1
186,60,0,81,21,-60,60,0,2072,0,1,1
188,655,0,979,323,-656,656,10,2819,1,0,0
189,0,0,0,0,0,0,0,2235,0,1,1
190,0,0,0,0,0,0,0,1857,0,1,1
191,290,0,763,473,-290,290,0,5356,0,1,0
192,59,0,88,25,-63,63,27,318,0,1,1
194,29,0,71,39,-32,29,0,6232,0,1,1
195,58,0,167,109,-58,58,0,3651,0,1,1
196,44,0,395,351,-44,44,0,4041,0,1,0
197,29,0,73,44,-29,25,0,2304,0,1,1
201,0,0,8,4,-4,0,0,2053,0,1,0
204,120,0,1145,1025,-120,120,34,3885,0,1,1
205,75,87,130,141,11,-12,23,2663,0,1,0
209,353,0,637,283,-354,353,0,11194,0,1,1
210,299,0,621,322,-299,299,0,2441,1,0,0
211,170,0,1065,864,-201,170,11,33703,1,0,1
213,0,38,0,0,0,0,0,0,0,1,1
217,0,0,0,0,0,0,0,2311,0,1,0
218,45,0,67,23,-44,44,0,2362,0,1,1
221,30,0,133,106,-27,27,0,4804,0,1,0
222,30,0,43,14,-29,29,0,2091,0,1,0
226,352,0,2175,1821,-354,162,0,3209,0,1,1
228,454,1516,1805,2871,1066,-1067,0,9004,1,0,1
236,722,0,806,79,-727,675,0,2150,0,1,1
239,146,0,250,104,-146,146,0,3207,0,1,1
240,90,0,173,83,-90,90,33,2255,0,1,1
243,0,0,0,0,0,0,0,2038,0,1,0
244,0,0,0,0,0,0,0,1933,0,1,1
245,0,0,0,0,0,0,0,11,0,1,1
246,916,1421,1770,2276,506,-506,0,5251,0,1,1
248,0,0,0,0,0,0,0,189,0,1,0
251,60,60,96,96,0,0,0,2758,0,1,1
255,361,0,659,299,-360,360,0,2587,0,1,1
256,60,0,70,10,-60,56,0,4557,0,1,1
257,29,0,29,0,-29,28,0,3487,0,1,1
259,60,0,61,0,-61,57,0,4173,0,1,0
262,89,0,178,85,-93,77,0,3035,0,1,1
263,438,0,847,409,-438,438,0,5149,0,1,0
264,44,0,138,71,-67,67,0,5498,0,1,1
268,60,0,236,176,-60,55,0,2848,0,1,1
270,582,0,1123,541,-582,582,0,4157,0,1,1
271,88,0,215,127,-88,88,0,2597,0,1,1
272,189,0,552,365,-187,187,0,9546,1,0,1
273,90,0,661,479,-182,182,0,2836,0,1,1
274,90,0,317,228,-89,90,37,4692,0,1,0
275,64,0,193,130,-63,62,0,3550,1,0,1
276,58,0,115,57,-58,57,0,3301,1,0,1
278,2477,0,14640,11626,-3014,3014,0,30685,0,1,1
281,179,0,836,657,-179,179,0,9267,1,0,1
283,301,903,3214,3818,604,-604,0,4547,1,0,1
284,91,0,421,330,-91,91,0,16933,0,1,1
285,60,0,70,11,-59,60,37,2472,0,1,1
286,30,0,87,57,-30,30,39,1255,0,1,1
288,146,0,291,145,-146,146,0,4971,0,1,1
289,30,149,82,202,120,-120,4,3791,1,0,0
290,45,0,54,8,-46,46,0,1966,0,1,1
291,59,0,1122,1066,-56,-6,0,4641,0,1,0
292,146,0,262,115,-147,147,0,2257,0,1,0
294,0,0,0,0,0,0,0,99,0,1,0
295,148,355,211,419,208,-207,0,1173,0,1,1
296,0,0,1036,1126,90,-90,0,10496,1,0,1
298,421,452,2460,2489,29,-30,0,17681,1,0,1
299,119,0,247,211,-36,36,0,5102,0,1,1
300,148,0,160,12,-148,148,0,3909,0,1,1
301,111,0,212,101,-111,111,44,3064,0,1,1
303,166,0,521,356,-165,165,0,3071,0,1,1
304,89,0,142,53,-89,89,0,2120,0,1,1
305,87,0,124,37,-87,87,0,2195,0,1,0
307,75,0,186,111,-75,61,13,2633,0,1,1
308,0,0,0,0,0,0,0,580,1,0,1
309,30,0,38,8,-30,30,0,2464,0,1,1
310,301,211,1421,1202,-219,219,0,34387,0,1,1
311,480,0,1680,1201,-479,479,3,5819,1,0,1
312,0,0,0,0,0,0,0,1904,1,0,1
313,1254,0,3193,2100,-1093,1093,8,6568,0,1,0
314,58,0,104,46,-58,58,18,2000,1,0,0
315,102,0,274,169,-105,91,0,968,0,1,1
318,117,0,178,60,-118,118,0,2689,0,1,1
319,60,0,97,37,-60,60,0,2350,0,1,1
320,60,0,838,779,-59,59,0,5059,0,1,1
322,60,0,111,51,-60,59,0,2272,1,0,0
325,58,63,41,3,-38,38,0,2250,1,0,1
327,60,0,72,12,-60,60,19,2568,1,0,1
328,0,0,0,0,0,0,30,1933,0,1,0
329,146,0,609,462,-147,147,0,2481,0,1,1
330,0,0,0,0,0,0,20,2046,1,0,1
331,117,0,254,137,-117,117,41,4990,0,1,0
332,30,0,43,13,-30,30,0,2612,1,0,0
334,149,74,622,548,-74,74,0,6253,0,1,1
337,418,0,1496,1077,-419,418,0,10089,1,0,1
338,0,0,0,0,0,0,0,1907,0,1,1
341,89,0,153,64,-89,89,0,2874,0,1,1
342,0,0,0,0,0,0,41,1500,0,1,1
343,60,0,231,169,-62,59,27,9416,0,1,1
346,59,0,60,31,-29,29,0,4744,0,1,1
348,60,749,4261,4442,181,-184,1,26015,0,1,1
349,29,0,49,20,-29,29,21,2267,0,1,0
351,0,0,0,0,0,0,0,1874,0,1,1
352,90,0,668,576,-92,92,0,7411,0,1,1
353,1936,0,6035,4100,-1935,1861,0,6843,0,1,1
357,60,0,176,116,-60,60,0,3392,0,1,1
359,0,0,0,0,0,0,0,2303,0,1,0
361,59,0,108,49,-59,52,0,609,0,1,1
362,30,0,67,38,-29,26,0,858,0,1,0
364,0,0,334,132,-202,173,0,6952,1,0,1
367,73,199,66,192,126,-126,0,2511,0,1,1
370,0,0,0,0,0,0,0,1,1,0,0
371,0,0,0,0,0,0,0,1890,0,1,0
373,61,0,89,28,-61,61,11,3436,0,1,1
374,89,59,142,113,-29,20,0,4630,1,0,1
375,1191,2954,10909,12672,1763,-1763,0,6990,0,1,0
376,0,0,0,0,0,0,0,1916,0,1,0
377,146,0,399,254,-145,145,0,3168,0,1,1
378,30,60,15,45,30,-30,40,2357,0,1,0
379,0,0,39,0,-39,39,17,2157,0,1,1
380,270,150,808,718,-90,90,0,4325,1,0,1
383,117,0,350,229,-121,120,0,9006,1,0,1
386,60,0,266,206,-60,60,0,6184,0,1,1
387,120,0,369,203,-166,165,38,10654,0,1,1
388,117,0,411,649,238,-238,0,3565,1,0,1
389,0,0,0,0,0,0,0,3875,0,1,0
390,293,0,1389,1097,-292,292,0,4149,0,1,1
391,900,0,4581,3681,-900,897,0,7119,0,1,1
397,408,0,1810,1402,-408,407,28,6681,0,1,1
399,30,0,152,123,-29,30,24,4650,0,1,0
400,0,0,0,0,0,0,0,1843,0,1,1
402,0,9,0,0,0,0,11,0,0,1,0
403,72,0,160,88,-72,72,16,5794,1,0,1
404,120,0,706,588,-118,118,46,2816,0,1,1
405,0,0,0,0,0,0,0,573,1,0,1
406,0,0,0,0,0,0,11,1810,1,0,1
407,30,0,82,48,-34,34,0,2604,1,0,1
408,118,0,899,792,-107,107,0,16459,1,0,1
412,0,0,0,0,0,0,0,2095,1,0,0
413,0,0,0,0,0,0,0,1285,0,1,1
414,30,120,129,217,88,-94,0,3148,1,0,1
415,0,0,236,167,-69,69,0,4964,1,0,1
416,0,0,0,0,0,0,0,1,0,1,0
418,151,0,593,442,-151,150,2,3255,0,1,1
419,0,0,0,0,0,0,12,1956,0,1,0
421,151,0,743,593,-150,146,0,1038,1,0,0
422,181,0,460,313,-147,146,0,6802,0,1,1
423,59,0,89,30,-59,59,0,2408,0,1,0
424,61,0,95,33,-62,62,0,4877,1,0,1
425,293,0,2077,1771,-306,293,0,6467,0,1,1
426,695,0,1958,1264,-694,695,0,7397,0,1,0
428,0,0,0,0,0,0,0,1896,0,1,1
429,30,0,40,11,-29,30,0,2394,1,0,1
431,90,0,90,5,-85,85,0,2113,0,1,1
433,60,0,239,179,-60,60,0,2708,0,1,0
434,30,0,45,15,-30,30,0,540,0,1,1
435,60,0,297,237,-60,60,0,3095,0,1,1
436,29,0,83,54,-29,29,41,2798,0,1,0
437,105,0,160,55,-105,105,0,2206,0,1,1
439,59,0,227,168,-59,54,0,2773,0,1,1
440,0,0,0,0,0,0,0,2128,0,1,1
441,0,0,0,0,0,0,0,1917,0,1,0
444,44,0,54,10,-44,44,8,2090,0,1,1
445,90,0,240,150,-90,84,19,2550,0,1,1
446,59,59,137,137,0,0,0,3339,0,1,1
452,300,0,447,147,-300,300,0,7880,0,1,1
453,294,0,611,318,-293,294,0,3795,0,1,1
454,90,0,114,25,-89,89,0,2059,0,1,0
456,119,0,207,88,-119,101,0,10999,0,1,1
458,903,243,2220,1557,-663,468,0,3443,0,1,0
459,177,0,251,77,-174,175,0,2845,0,1,1
461,277,331,543,597,54,-97,0,10473,0,1,1
462,746,0,1960,1200,-760,732,0,9143,1,0,1
464,29,0,40,10,-30,29,0,2498,0,1,1
465,1447,0,3709,2262,-1447,1447,0,1338,1,0,1
466,0,0,0,0,0,0,0,1813,0,1,1
468,122,0,147,30,-117,113,0,2261,0,1,1
470,1084,0,6076,4993,-1083,1083,8,5340,0,1,1
471,0,0,0,0,0,0,48,2075,0,1,0
472,0,0,0,0,0,0,0,1834,0,1,1
474,0,0,0,0,0,0,0,40,0,1,1
475,586,0,1126,535,-591,591,0,2773,0,1,1
476,179,0,395,215,-180,180,0,3894,0,1,1
477,148,0,1284,1139,-145,137,38,7307,0,1,1
478,0,0,0,0,0,0,0,1961,1,0,1
479,60,0,74,14,-60,60,0,613,0,1,1
482,60,0,30,0,-30,29,0,4569,0,1,0
483,0,0,0,0,0,0,0,32,1,0,0
487,118,0,1845,1727,-118,118,0,7738,0,1,0
489,509,898,3067,3441,374,-374,0,14547,0,1,1
490,105,60,636,591,-45,-9,0,4186,0,1,1
491,90,0,143,52,-91,90,0,1045,0,1,1
493,44,0,57,13,-44,44,0,2540,0,1,0
494,181,0,999,816,-183,182,10,7204,0,1,1
495,0,0,0,0,0,0,0,1920,0,1,0
496,58,0,835,777,-58,50,0,1602,1,0,1
497,30,0,95,59,-36,29,0,1050,0,1,0
499,1626,0,1719,7622,5903,-5902,0,5032,0,1,1
500,30,60,61,91,30,-30,0,4571,0,1,1
501,607,1566,9217,10175,958,-958,0,11593,1,0,1
502,88,0,329,242,-87,82,0,4106,1,0,0
503,45,0,63,17,-46,45,0,2338,0,1,1
504,0,0,77,57,-20,20,0,3457,0,1,0
505,0,0,0,0,0,0,0,1926,0,1,1
506,59,0,118,60,-58,59,0,3201,0,1,0
507,0,0,18,0,-18,17,0,1954,1,0,1
511,59,0,93,63,-30,30,0,3755,1,0,1
512,29,0,44,14,-30,30,0,5798,1,0,1
513,60,0,61,3,-58,58,37,2083,0,1,1
515,355,0,3942,3499,-443,443,0,9141,0,1,1
516,0,0,0,0,0,0,0,1949,1,0,0
518,29,0,86,57,-29,29,5,4069,0,1,1
520,0,0,0,0,0,0,0,2097,0,1,0
521,0,0,0,0,0,0,0,1946,1,0,0
523,119,0,418,299,-119,119,0,1612,0,1,1
524,0,387,480,280,-200,176,0,4815,1,0,1
525,0,135,334,461,127,-127,0,4147,0,1,0
528,44,0,326,187,-139,139,0,6018,1,0,0
529,30,0,84,54,-30,30,11,3909,1,0,1
533,60,0,2997,2627,-370,370,31,13859,1,0,1
534,0,0,0,0,0,0,0,1,1,0,0
536,151,0,579,428,-151,147,0,5675,0,1,1
537,903,543,3560,3200,-360,360,0,14234,0,1,1
538,29,0,70,41,-29,29,0,4062,0,1,0
540,59,0,74,14,-60,59,0,1361,0,1,1
541,0,0,0,0,0,0,0,1894,1,0,1
543,0,0,0,0,0,0,0,1882,0,1,1
545,0,0,0,0,0,0,44,1952,1,0,0
546,0,226,3011,2652,-359,359,0,23235,0,1,1
548,1464,0,4008,2544,-1464,1464,0,5772,0,1,0
549,105,0,668,564,-104,104,0,4688,1,0,1
550,1464,0,3651,2187,-1464,1464,0,7656,0,1,1
551,438,0,1036,600,-436,437,12,4318,0,1,1
552,29,0,48,18,-30,29,0,2375,1,0,1
553,30,0,64,34,-30,29,0,5264,0,1,1
555,0,0,0,0,0,0,14,1880,0,1,0
556,60,0,243,183,-60,60,0,2385,0,1,1
557,149,0,321,172,-149,134,0,2506,1,0,1
559,59,0,467,408,-59,59,0,7804,0,1,0
560,0,0,0,0,0,0,0,831,0,1,1
561,299,0,2502,2199,-303,298,0,2011,0,1,1
565,0,0,198,110,-88,75,0,2392,1,0,1
566,90,0,139,48,-91,90,14,2519,0,1,1
567,60,152,94,185,91,-91,24,2134,1,0,0
572,147,0,804,657,-147,147,0,10532,0,1,1
573,0,0,0,0,0,0,0,1856,0,1,1
575,60,0,501,441,-60,56,0,9386,0,1,0
576,88,0,425,337,-88,87,0,3890,0,1,1
577,60,0,116,56,-60,60,0,2179,0,1,0
580,541,0,2022,1485,-537,537,0,6628,0,1,0
581,45,0,66,21,-45,45,21,2039,0,1,1
582,44,0,58,15,-43,44,0,2946,0,1,0
586,0,0,1223,1153,-70,68,0,14487,0,1,1
590,300,0,2170,1873,-297,250,48,9771,0,1,1
591,0,0,0,0,0,0,24,1910,0,1,1
593,88,0,119,31,-88,88,0,2322,1,0,1
596,121,0,224,103,-121,121,0,3176,0,1,1
597,60,0,87,27,-60,60,0,1943,0,1,1
602,0,0,0,0,0,0,12,1113,0,1,1
603,59,0,87,28,-59,59,45,2169,1,0,1
604,480,0,862,382,-480,480,0,3623,0,1,1
605,90,0,246,155,-91,90,0,2666,1,0,0
607,271,0,533,262,-271,271,0,2853,0,1,0
608,44,0,175,131,-44,44,0,3080,1,0,0
609,0,0,0,0,0,0,0,1842,1,0,0
610,120,0,680,560,-120,119,0,7116,1,0,1
611,103,0,232,129,-103,102,0,647,0,1,1
612,59,0,995,936,-59,59,0,4101,1,0,0
613,0,0,0,0,0,0,0,3789,0,1,1
614,59,0,86,27,-59,59,43,2378,0,1,1
615,301,301,3608,3608,0,0,0,4581,0,1,1
616,92,0,351,259,-92,79,0,1378,0,1,1
617,45,0,77,32,-45,45,23,1634,1,0,0
618,60,0,128,68,-60,54,0,6202,0,1,0
619,356,0,1615,1259,-356,356,0,4072,0,1,1
620,226,0,1135,909,-226,224,0,2588,1,0,1
621,0,0,13,3,-10,10,0,2010,1,0,1
623,88,294,327,533,206,-206,0,900,0,1,0
624,60,60,0,0,0,0,0,2437,0,1,1
625,0,0,0,0,0,0,0,3802,0,1,1
627,148,0,400,252,-148,148,0,2646,0,1,1
628,150,0,1231,1080,-151,150,0,3414,1,0,1
630,0,3078,0,0,0,0,0,0,0,1,0
632,61,0,61,0,-61,61,14,817,0,1,1
638,90,0,109,18,-91,91,0,2162,0,1,0
640,146,0,605,459,-146,146,0,3395,1,0,1
641,265,0,516,251,-265,265,0,3404,0,1,1
642,181,0,1089,908,-181,181,0,7094,1,0,1
643,0,0,0,0,0,0,0,43,1,0,0
644,45,0,68,23,-45,40,0,2599,0,1,1
645,294,0,1278,983,-295,294,0,6033,1,0,0
646,29,0,28,0,-28,28,0,2773,1,0,1
650,60,0,90,30,-60,60,0,2468,0,1,1
651,44,0,218,174,-44,44,0,3052,1,0,1
656,30,0,32,2,-30,30,0,2063,1,0,1
657,0,0,0,0,0,0,0,41,0,1,1
658,30,0,551,490,-61,14,0,3945,1,0,0
660,1206,0,1730,500,-1230,1229,0,3120,1,0,1
662,60,0,115,55,-60,60,28,2583,1,0,1
663,0,0,0,0,0,0,0,2232,0,1,1
664,0,0,1,0,-1,0,0,1916,0,1,1
665,90,0,97,7,-90,90,0,2054,0,1,0
667,90,0,214,124,-90,85,0,5126,0,1,0
668,58,0,65,7,-58,57,0,2556,0,1,1
670,150,0,6379,6231,-148,148,0,7457,0,1,0
671,1064,0,4012,2953,-1059,859,0,13363,0,1,0
672,0,0,0,0,0,0,0,275,0,1,1
679,720,120,2730,2130,-600,600,0,10807,0,1,1
681,151,0,563,413,-150,150,0,2338,0,1,1
682,116,0,286,169,-117,117,0,3479,1,0,1
683,0,0,0,0,0,0,15,1994,1,0,0
685,298,0,597,300,-297,298,0,2539,1,0,1
686,0,0,0,0,0,0,0,1989,0,1,0
687,59,0,128,69,-59,59,0,2080,1,0,1
692,120,0,243,123,-120,120,0,4723,0,1,0
693,362,302,1190,949,-241,240,0,2612,0,1,1
695,0,0,0,0,0,0,0,1832,0,1,1
697,585,0,2061,1476,-585,585,0,15288,0,1,1
698,0,0,0,0,0,0,4,1833,0,1,1
699,0,0,0,0,0,0,0,59,0,1,1
700,301,0,1041,741,-300,300,0,5423,0,1,1
701,59,235,204,380,176,-182,33,3229,0,1,1
702,103,0,407,304,-103,103,0,3618,1,0,1
704,1083,1577,3321,3814,493,-494,45,15786,0,1,1
705,0,0,0,0,0,0,0,3766,1,0,1
709,300,301,124,125,1,-1,0,1138,1,0,1
710,60,0,95,35,-60,41,0,1460,0,1,1
712,117,0,620,503,-117,117,0,4183,0,1,1
713,0,0,1152,1182,30,-86,0,4161,0,1,0
714,89,0,171,82,-89,88,0,4380,1,0,1
715,381,0,540,159,-381,381,0,3707,0,1,0
718,61,0,752,692,-60,60,0,3805,0,1,0
721,149,0,210,55,-155,148,23,2813,0,1,1
722,59,0,101,41,-60,58,0,3733,1,0,1
723,525,0,4192,3618,-574,574,0,8621,0,1,1
725,45,0,92,48,-44,45,0,2242,0,1,1
726,0,0,23,8,-15,0,0,4936,0,1,1
729,29,0,64,35,-29,29,0,2190,0,1,1
731,29,0,57,28,-29,29,0,2191,1,0,1
735,1191,0,11087,6905,-4182,4182,0,5453,0,1,1
736,44,0,47,3,-44,43,0,2205,1,0,1
737,113,0,203,90,-113,113,0,2657,1,0,1
739,612,0,984,372,-612,612,0,3597,0,1,1
741,180,390,3399,3609,210,-210,0,19338,1,0,1
742,0,0,0,0,0,0,27,1854,1,0,1
743,46,0,83,37,-46,46,0,3092,0,1,1
744,60,0,435,375,-60,60,0,2886,1,0,0
748,119,179,715,775,60,-61,0,26021,1,0,0
750,0,177,0,0,0,0,10,2970,0,1,1
752,60,0,90,31,-59,59,0,2371,1,0,1
753,60,0,137,78,-59,59,0,3277,0,1,0
754,0,0,0,0,0,0,0,62,0,1,0
756,45,0,220,171,-49,44,0,3877,0,1,1
759,58,0,333,507,174,-175,0,3369,0,1,1
761,30,241,117,325,208,-219,0,7677,0,1,1
762,44,0,52,9,-43,43,22,1099,1,0,0
763,0,0,0,0,0,0,0,1863,1,0,0
764,44,0,93,48,-45,43,0,4228,0,1,0
765,0,0,0,0,0,0,0,420,0,1,1
767,59,0,64,6,-58,58,0,2507,1,0,1
768,286,0,618,332,-286,286,0,7438,0,1,1
769,59,0,115,56,-59,59,0,3763,0,1,1
771,147,0,323,176,-147,147,0,5704,0,1,1
773,0,0,0,0,0,0,0,1996,0,1,1
775,207,0,1245,949,-296,297,0,3766,0,1,1
776,44,0,133,87,-46,44,28,2977,0,1,1
777,296,798,2831,3332,501,-501,1,10000,0,1,1
778,0,0,0,0,0,0,0,1879,1,0,1
779,102,0,124,20,-104,104,0,2422,1,0,1
781,194,0,311,117,-194,194,29,3446,0,1,1
782,149,0,326,176,-150,149,0,2910,1,0,0
784,120,0,182,62,-120,120,0,3190,0,1,1
788,150,0,971,821,-150,150,0,3585,1,0,1
790,729,1750,1830,2851,1021,-1021,0,1494,0,1,1
793,60,0,76,16,-60,60,0,2368,0,1,1
794,117,0,4972,4826,-146,116,0,11910,1,0,1
797,30,0,39,9,-30,27,0,2277,0,1,1
798,264,0,4664,4328,-336,295,0,44301,0,1,1
799,150,0,181,30,-151,134,0,2031,0,1,1
800,0,0,0,0,0,0,0,97,0,1,1
801,30,0,63,33,-30,30,0,2672,1,0,1
802,286,0,956,670,-286,286,0,9461,1,0,1
804,0,0,0,0,0,0,0,1879,0,1,0
807,29,0,168,139,-29,29,36,7560,1,0,1
810,442,0,2775,2333,-442,442,16,9311,0,1,1
812,4404,0,17367,12963,-4404,4403,0,5198,0,1,1
816,0,0,13,6,-7,6,0,396,1,0,1
818,886,0,8403,7500,-903,903,0,9862,0,1,0
819,87,0,240,155,-85,72,0,2214,1,0,1
820,0,0,0,0,0,0,0,1875,0,1,1
821,0,0,0,0,0,0,0,1864,0,1,0
825,88,0,136,48,-88,82,0,3148,0,1,1
828,77,0,151,75,-76,77,0,2011,0,1,1
831,29,0,85,56,-29,24,0,1281,1,0,0
832,60,0,347,289,-58,58,15,3583,0,1,1
834,75,100,149,173,24,-25,46,456,0,1,0
835,0,0,0,0,0,0,0,884,1,0,1
837,451,0,3717,3266,-451,451,0,3122,0,1,1
838,147,0,839,591,-248,248,0,7523,0,1,1
841,44,0,134,89,-45,44,0,1344,0,1,1
842,59,0,113,42,-71,71,0,3155,1,0,1
843,2796,2013,7244,6317,-927,927,49,17569,0,1,1
845,59,0,152,94,-58,57,0,3223,0,1,0
846,0,0,0,0,0,0,0,41,0,1,1
848,0,0,30,0,-30,0,0,2108,0,1,1
849,120,0,287,166,-121,121,22,2780,1,0,1
850,602,0,1237,636,-601,601,0,2696,0,1,0
855,60,0,388,328,-60,60,0,3267,0,1,0
856,118,0,332,215,-117,118,0,6969,0,1,1
857,0,0,0,0,0,0,18,1874,0,1,0
858,175,0,454,280,-174,174,0,1729,1,0,1
859,299,0,635,335,-300,299,0,3452,0,1,1
